wosarticle__doc;wosarticle__di;wosarticle__ti;docauthinst__AU;wosarticle__py;wosarticle__ab
1251542;http://dx.doi.org/10.1016/j.enpol.2018.10.005;Distributional impacts of energy-heat cross-subsidization;"Grainger, C.; <br>Schreiber, A.; <br>Zhang, F.";2019;Energy and heat cross-subsidies are common in developing and transitioning countries, but the distributional and efficiency impacts of these policies (and reform) are largely unknown. In Post-Soviet countries such as Belarus, revenues from an industrial tariff on electricity are used to cross-subsidize heating for households. We analyze the distributional impacts of cross-subsidy reform with both input output methods and a calibrated static computable general equilibrium (CGE) model with heterogeneous households based on a household consumption survey. On average, GDP gains of roughly a quarter of a percent are computed across model runs which reduce taxes and subsidies from cross-subsidization. Reducing household heating subsidy rates equally across income groups is found to be regressive. Poorer households are overly-burdened due to higher heating expenditures while richer households enjoy gains from cheaper market prices for goods. The GDP gains are even larger when the tax rates are structured to create a distributionally-neutral reform. © 2018 Elsevier Ltd
1910944;http://dx.doi.org/10.1080/14693062.2018.1532871;Job losses and political acceptability of climate policies: why the 'job-killing' argument is so persistent and how to overturn it;"Vona, F; <br>Vona, F; <br>Vona, F";2019;Political acceptability is an essential issue in choosing appropriate climate policies. Sociologists and behavioural scientists recognize the importance of selecting environmental policies that have broad political support, while economists tend to compare different instruments first on the basis of their efficiency, and then by assessing their distributional impacts and thus their political acceptability. This paper examines case-study and empirical evidence that the job losses ascribed (correctly or incorrectly) to climate policies have substantial impacts on the willingness of affected workers to support these policies. In aggregate, the costs of these losses are significantly smaller than the benefits, both in terms of health and, probably, of labour market outcomes, but the losses are concentrated in specific areas, sectors and social groups that have been hit hard by the great recession and international competition. Localized contextual effects, such as peer group pressure, and politico-economic factors, such as weakened unions and tightened government budgets, amplify the strength and the persistence of the 'job-killing' argument. Compensating for the effects of climate policies on 'left-behind' workers appears to be the key priority to increase the political acceptability of such policies, but the design of compensatory policies poses serious challenges.
1948542;http://dx.doi.org/10.1016/j.erss.2019.02.017;Addressing health and equity in residential low carbon transitions – Insights from a pragmatic retrofit evaluation in Australia;"Willand, N.; <br>Maller, C.; <br>Ridley, I.";2019;Health and equity present obligations and currently under-realised opportunities in low carbon transitions. Energy efficiency improvements of homes may benefit health and access to affordable energy, yet better knowledge about contextual mechanisms and household practices is needed for the development of effective programs. This paper presents a mixed methods evaluation of a quasi-randomised controlled retrofit trial targeting low-income older householders. Socio-technical systems thinking offered a useful approach to explore the construct of the engineering-dominated concept of residential energy efficiency in combination with the people-focused experience of housing and health. The study combined a phenomenological enquiry into householder practices with quantitative analyses to explain health, energy cost, temperature and psycho-social outcomes for winter. The findings showed that small retrofits may mitigate the growing energy demands of this ageing population group, provide better comfort and reduce energy costs, but that the effectiveness of the retrofits was reduced by socially shared heating and ventilation practices that contradicted engineering assumptions, the physiological capabilities of the householder and the modes of energy bill payments. A program that is framed around caring and safety and combines retrofits, tariff optimisations and householder practices could provide equitable climate change mitigation outcomes and co-benefits for health for this population group. The paper concludes with implications for the integration of equity and health as goals into low carbon transitions. © 2019 Elsevier Ltd
1948550;http://dx.doi.org/10.1016/j.enpol.2019.01.076;The distributional impacts of U.S. energy policy;Metcalf, G.E.;2019;This paper surveys energy policy in the United States from a distributional perspective. Focusing on the distributional impacts of energy taxes is too narrow a framework. The United States relies much more heavily on regulation than taxation to address energy-related market failures. It argues that most regulatory policies and tax subsidies to achieve energy policy goals are regressive. This includes fuel economy standards, EV purchase incentives, and energy efficiency tax incentives. In contrast, a carbon tax is likely to be progressive, even when ignoring the use of revenue. The view that carbon taxes are regressive stems from an incomplete distributional analysis that assumes all impacts arise from increases in the costs of consumer goods and services. Recent analyses have emphasized the importance of impacts on sources of income. In particular, a carbon tax is likely to reduce returns to capital more than wages. With capital disproportionately held by higher income households, this differential factor income effect is progressive. In addition, transfer income, more important for lower income households, tends to be indexed and so contributes to a carbon tax's progressivity. How carbon tax revenue is used can add even greater progressivity to a carbon tax reform. © 2019
1948566;http://dx.doi.org/10.1016/j.erss.2018.11.004;Gender, culture and energy transitions in rural Africa;"Johnson, O.W.; <br>Gerber, V.; <br>Muhoza, C.";2019;Research over the past two decades on links between energy, gender and development suggests that greater inclusion of gender concerns in energy sector decision-making improves development outcomes. In practice, this has typically led to gendered energy approaches that focus more on technological fixes rather than providing appropriate energy services, and on meeting women's immediate needs rather than addressing the broader cultural, socio-economic and political contexts important for attaining genuine gender equity. In this paper, we take a systems perspective to explore gender issues in the context of a transition from traditional to modern energy services, such as lighting, powering appliances and charging mobile phones. Viewing gender through the lens of the Energy Cultures Framework, we analyse the case of the Mpanta solar mini-grid in rural northern Zambia. We find that the transition to more modern energy services is far from gender neutral: despite providing broad benefits within the community, the benefits derived from a new technology and service were not evenly distributed between men and women due to broader socio-cultural practices and norms. This paper extends the application of the Energy Cultures Framework in two important ways. Firstly, it incorporates an explicit gender dimension into the framework. Secondly, it applies the framework in a new context – rural energy transitions in low-income countries. In doing so, this paper offers important insights for research and practice in energy, gender and development. © 2018 Elsevier Ltd
1948578;;How gender-sensitive are India's Energy Policies?;Manjula, M.;2019;The two flagship energy policies in India-the Integrated Energy Policy and the National Energy Policy-fail to recognise women's gendered role in production, access to energy, and formulation of energy policies and programmes. Recent gender-sensitive energy programmes like the Pradhan Mantri Ujjwala Yojana and the Saubhagya scheme need to be replicated and scaled up to improve the energy security needs of women. © 2019 Economic and Political Weekly. All Rights Reserved.
768091;http://dx.doi.org/10.1016/j.enpol.2017.10.011;Poverty and distributional effects of a carbon tax in Mexico;"Renner, S; <br>Renner, S";2018;Mexico recently declared ambitious goals in reducing domestic CO2 emissions and introduced a carbon tax in 2014. Although negative effects on household welfare and related poverty measures are widely discussed as possible consequences, empirical evidence is missing. We try to fill this gap by simulating an input-output model coupled with household survey data to examine the welfare effects of different carbon tax rates over the income distribution. The currently effective tax rate is small and has negligible effects on household welfare. Higher simulated tax rates, maintaining the current tax base, show a slight progressivity but welfare losses remain moderate. Welfare losses, regressivity and poverty rise more with widening the tax base towards natural gas and the other greenhouse gases methane (CH4) and nitrous oxide (N2O) mainly through food price increases. For a complete analysis of the policy, we simulate a redistribution of calculated tax revenues and find that the resulting effects become highly progressive, also for high rates, wider tax bases and even in the absence of perfect targeting of social welfare programs.
882724;http://dx.doi.org/10.1016/j.enpol.2018.04.013;Intersection of the global climate agenda with regional development: Unequal distribution of energy efficiency-based renovation subsidies for apartment buildings;"Lihtmaa, L.; <br>Hess, D.B.; <br>Leetmaa, K.";2018;The residential sector is an important target area for achieving Europe's 2020 energy saving aims. There is virtually no evidence, however, of how incentives for attaining energy efficiency interact with countries' regional development aims. This article presents recent experiences from Estonia, where an energy renovation subsidy programme financed with carbon emission trading funds was carried out between 2010 and 2014. We show that despite equal access to subsidies for residents living in various places, a regionally unequal distribution of subsidies occurred. Empirical analyses confirm that low-performing regions acquire less public subsidy, thus adding another layer of regional inequality to existing socio-economic differences. Findings suggest that renovation subsidy distribution is related to regional socio-economic indicators and that real estate value explains 40% of subsidy distribution variations between regions. Although the energy policy goal of carbon conservation is important, ignoring the location and organisational capacity of local communities results in missed opportunities to mitigate growing regional disparities. © 2018 Elsevier Ltd
882898;http://dx.doi.org/10.1016/j.enbuild.2018.04.067;Energy-efficient retrofit of social housing in the UK: Lessons learned from a Community Energy Saving Programme (CESP) in Nottingham;"Elsharkawy, H.; <br>Rutherford, P.";2018;One of the long-term challenges outlined within the UK Government's Energy White Paper (2011) is to cut both greenhouse gas (GHG) emissions and energy bills by improving household energy efficiency. As such, several energy-related initiatives have, in recent years, been promoted including the Community Energy Saving Programme. In this study, we explore how patterns of user consumption as influenced by occupant awareness and behaviour, can both positively and negatively influence policy initiative delivery. In so doing, we present the results from an extensive pre- and post-retrofit home energy use and performance survey of 150 properties located in Nottingham's Aspley ward, home of one of England's pilot CESP schemes. Our results show that whilst this specific initiative significantly improved home conditions and reduced energy consumption, it failed to achieve the predicted £300 annual savings on household energy bills. This was found to be largely attributed to occupants’ ingrained habits towards household energy use, higher comfort level preferences, (lack of) energy consumption awareness, and insufficient information provided to help residents better manage their home energy use following the retrofit. By exploring some of the core lessons learned from the survey, this research seeks to inform and improve the uptake and delivery of future retrofit initiatives. © 2018 Elsevier B.V.
901244;http://dx.doi.org/10.1016/j.enpol.2018.04.013;Intersection of the global climate agenda with regional development: Unequal distribution of energy efficiency-based renovation subsidies for apartment buildings;"Lihtmaa, L; <br>Hess, DB; <br>Leetmaa, K";2018;The residential sector is an important target area for achieving Europe's 2020 energy saving aims. There is virtually no evidence, however, of how incentives for attaining energy efficiency interact with countries' regional development aims. This article presents recent experiences from Estonia, where an energy renovation subsidy programme financed with carbon emission trading funds was carried out between 2010 and 2014. We show that despite equal access to subsidies for residents living in various places, a regionally unequal distribution of subsidies occurred. Empirical analyses confirm that low-performing regions acquire less public subsidy, thus adding another layer of regional inequality to existing socio-economic differences. Findings suggest that renovation subsidy distribution is related to regional socio-economic indicators and that real estate value explains 40% of subsidy distribution variations between regions. Although the energy policy goal of carbon conservation is important, ignoring the location and organisational capacity of local communities results in missed opportunities to mitigate growing regional disparities.
